isoform	gene
T003800	ACBD5
T003801	ACBD5
T003803	ACBD5
T003804	ACBD5
T003805	ACBD5
T003815	RAB18
T003816	RAB18
T003832	MKX
T003833	MKX
T003847	MKX
T003848	MKX
T003860	ARMC4
T003861	ARMC4
T003863	ARMC4
T003889	MPP7
T003912	WAC
T003913	WAC
T003915	WAC
T003916	WAC
T003917	WAC
T003918	WAC
T003919	WAC
T003920	WAC
T003921	WAC
T003922	WAC
T003923	WAC
T003924	WAC
T003931	WAC
T003932	WAC
T003933	WAC
T003935	BAMBI
T003982	SVIL
T004007	SVIL
T004021	SVIL
T004023	SVIL
T004024	SVIL
T004027	SVIL
T004042	KIAA1462
T004044	KIAA1462
T004049	MTPAP
T004050	MTPAP
T004054	MAP3K8
T004056	MAP3K8
T004060	MAP3K8
T004152	PFKP
T004153	PFKP
T004167	ZNF438
T004170	ZNF438
T004171	ZNF438
T004172	ZNF438
T004180	ZEB1
T004181	ZEB1
T004182	ZEB1
T004183	ZEB1-AS1
T004184	ZEB1
T004185	ZEB1
T004188	ZEB1
T004189	ZEB1
T004219	PITRM1
T004220	PITRM1
T004221	PITRM1
T004222	ARHGAP12
T004225	PITRM1
T004226	ARHGAP12
T004227	ARHGAP12
T004228	ARHGAP12
T004242	KIF5B
T004243	KIF5B
T004252	EPC1
T004253	EPC1
T004254	EPC1
T004255	EPC1
T004256	EPC1
T004257	EPC1
T004259	EPC1
T004261	CCDC7
T004262	CCDC7
T004263	CCDC7
T004275	ITGB1
T004281	ITGB1
T004292	ITGB1
T004303	ITGB1
T004310	ITGB1
T004342	NRP1
T004345	NRP1
T004348	NRP1
T004350	NRP1
T004351	NRP1
T004352	NRP1
T004353	NRP1
T004354	NRP1
T004358	NRP1
T004389	PARD3
T004390	PARD3
T004396	CUL2
T004397	CUL2
T004398	CUL2
T004399	CUL2
T004400	CUL2
T004401	CREM
T004402	CREM
T004403	CREM
T004405	CREM
T004406	CREM
T004408	CREM
T004411	CREM
T004417	CREM
T004421	CREM
T004423	CREM
T004426	CCNY
T004427	CCNY
T004428	CCNY
T004429	CCNY
T004430	CCNY
T004444	FZD8
T004445	MIR4683
T004456	NAMPTP1
T004490	ZNF248
T004491	ZNF248
T004494	ZNF248
T004495	KLF6
T004496	KLF6
T004497	KLF6
T004502	KLF6
T004503	KLF6
T004504	KLF6
T004505	ZNF25
T004506	KLF6
T004507	KLF6
T004508	KLF6
T004509	KLF6
T004510	KLF6
T004511	KLF6
T004527	ZNF25
T004536	KLF6
T004547	ZNF33A
T004549	ZNF33A
T004555	ZNF37A
T004598	HSD17B7P2
T004599	SEPT7P9
T004670	DIP2C
T004705	CCNYL2
T004710	ZNF37BP
T004711	ZNF37BP
T004715	ZNF33B
T004716	ZNF33B
T004717	ZNF33B
T004720	BMS1
T004722	DIP2C
T004725	RET
T004729	CSGALNACT2
T004743	RASGEF1A
T004747	RASGEF1A
T004755	FXYD4
T004758	HNRNPF
T004759	HNRNPF
T004760	HNRNPF
T004761	HNRNPF
T004762	HNRNPF
T004763	HNRNPF
T004764	HNRNPF
T004765	HNRNPF
T004766	HNRNPF
T004767	HNRNPF
T004768	HNRNPF
T004769	HNRNPF
T004773	ZNF487
T004775	ZNF487
T004776	ZNF239
T004777	CAP1P2
T004778	ZNF485
T004779	ZNF485
T004781	ZNF32
T004782	ZNF32
T004783	ZNF32
T004784	ZNF32
T004785	ZNF32
T004790	HNRNPA3P1
T004815	CXCL12
T004826	TMEM72-AS1
T004828	TMEM72-AS1
T004829	RASSF4
T004837	C10orf10
T004839	RASSF4
T004842	ZNF22
T004843	C10orf25
T004844	C10orf25
T004845	C10orf25
T004846	ZNF22
T004847	ZNF22
T004848	C10orf25
T004858	ALOX5
T004876	MARCH8
T004877	MARCH8
T004880	ZFAND4
T004881	ZFAND4
T004882	ZFAND4
T004883	WASHC2C
T004887	SYT15
T004900	NPY4R
T004946	ZNF488
T004953	GDF10
T004967	AKR1E2
T004968	AKR1E2
T004969	AKR1E2
T004970	AKR1E2
T004971	AKR1E2
T004991	MAPK8
T004992	MAPK8
T005009	ARHGAP22
T005015	ARHGAP22
T005030	ARHGAP22
T005031	ARHGAP22
T005035	ARHGAP22
T005038	WDFY4
T005040	WDFY4
T005041	WDFY4
T005050	AKR1C1
T005051	AKR1C1
T005052	AKR1C1
T005060	VSTM4
T005070	C10orf128
T005073	AKR1C2
T005095	ERCC6
T005096	ERCC6
T005097	ERCC6
T005119	OGDHL
T005127	AKR1C3
T005128	TIMM23B
T005129	TIMM23B
T005138	MSMB
T005141	NCOA4
T005142	NCOA4
T005162	TIMM23
T005163	TIMM23
T005165	WASHC2A
T005179	SGMS1
T005192	SGMS1
T005193	SGMS1
T005194	SGMS1
T005195	SGMS1
T005199	SGMS1
T005202	ASAH2B
T005208	PRKG1
T005211	PRKG1
T005213	PRKG1
T005216	PRKG1
T005217	PRKG1
T005218	PRKG1
T005219	PRKG1
T005232	CSTF2T
T005233	CSTF2T
T005250	DKK1
T005297	TUBAL3
T005308	NET1
T005309	NET1
T005310	NET1
T005323	NET1
T005324	NET1
T005343	CALML5
T005367	PCDH15
T005375	ASB13
T005376	ASB13
T005377	FAM208B
T005378	FAM208B
T005381	FAM208B
T005383	MTRNR2L5
T005391	ZWINT
T005398	GDI2
T005411	ANKRD16
T005412	ANKRD16
T005413	FBXO18
T005428	IPMK
T005430	CISD1
T005431	CISD1
T005433	CISD1
T005436	IL15RA
T005438	UBE2D1
T005439	UBE2D1
T005444	TFAM
T005446	TFAM
T005448	TFAM
T005449	TFAM
T005455	IL15RA
T005458	IL15RA
T005459	IL15RA
T005463	BICC1
T005496	PHYHIPL
T005509	IL2RA
T005522	FAM13C
T005524	FAM13C
T005532	FAM13C
T005537	RBM17
T005538	RBM17
T005542	SLC16A9
T005544	SLC16A9
T005545	SLC16A9
T005546	SLC16A9
T005547	SLC16A9
T005548	SLC16A9
T005567	CCDC6
T005568	CCDC6
T005569	CCDC6
T005570	CCDC6
T005571	CCDC6
T005572	CCDC6
T005573	CCDC6
T005585	PFKFB3
T005590	ANK3
T005592	ANK3
T005593	ANK3
T005595	ANK3
T005596	ANK3
T005607	ANK3
T005608	ANK3
T005616	ANK3
T005641	ANK3
T005643	ANK3
T005647	PFKFB3
T005652	ANK3
T005653	ANK3
T005654	ANK3
T005657	CDK1
T005661	CDK1
T005669	RHOBTB1
T005670	RHOBTB1
T005671	RHOBTB1
T005672	RHOBTB1
T005674	RHOBTB1
T005677	RHOBTB1
T005678	PFKFB3
T005694	TMEM26
T005707	C10orf107
T005708	C10orf107
T005725	ARID5B
T005727	ARID5B
T005767	ARID5B
T005769	ARID5B
T005773	ARID5B
T005780	ARID5B
T005781	ARID5B
T005782	ARID5B
T005783	ARID5B
T005799	RTKN2
T005810	ZNF365
T005812	RTKN2
T005813	RTKN2
T005814	RTKN2
T005816	RTKN2
T005817	RTKN2
T005825	ZNF365
T005892	ADO
T005893	ADO
T005894	ADO
T005895	ADO
T005896	ADO
T005897	ADO
T005898	ADO
T005908	EGR2
T005913	EGR2
T005914	EGR2
T005918	NRBF2
T005919	NRBF2
T005920	NRBF2
T005926	JMJD1C
T005937	JMJD1C
T005938	JMJD1C
T005939	JMJD1C
T005940	JMJD1C
T005941	JMJD1C
T005950	JMJD1C
T005951	JMJD1C
T005952	JMJD1C
T005960	REEP3
T005961	REEP3
T005962	REEP3
T005963	REEP3
T005964	REEP3
T005997	PRKCQ
T005998	PRKCQ
T005999	PRKCQ
T006017	ANXA2P3
T006045	LRRTM3
T006061	CTNNA3
T006062	CTNNA3
T006066	PRR26
T006068	DNAJC12
T006069	DNAJC12
T006071	DNAJC12
T006072	PRR26
T006074	SIRT1
T006075	SIRT1
T006083	HERC4
T006084	HERC4
T006085	HERC4
T006087	HERC4
T006088	HERC4
T006089	HERC4
T006090	HERC4
T006091	HERC4
T006092	HERC4
T006099	MYPN
T006100	MYPN
T006101	MYPN
T006112	ATOH7
T006113	ATOH7
T006122	HNRNPH3
T006124	PBLD
T006125	PBLD
T006128	HNRNPH3
T006129	HNRNPH3
T006132	HNRNPH3
T006133	HNRNPH3
T006135	HNRNPH3
T006139	RUFY2
T006140	RUFY2
T006141	RUFY2
T006142	RUFY2
T006145	DNA2
T006148	SLC25A16
T006149	SLC25A16
T006150	SLC25A16
T006151	SLC25A16
T006153	TET1
T006154	TET1
T006156	TET1
T006166	CCAR1
T006167	CCAR1
T006168	CCAR1
T006169	CCAR1
T006176	CCAR1
T006178	STOX1
T006180	STOX1
T006186	DDX50
T006187	DDX21
T006189	DDX21
T006190	DDX21
T006198	KIF1BP
T006199	KIF1BP
T006230	SRGN
T006259	VPS26A
T006260	VPS26A
T006265	SUPV3L1
T006266	SUPV3L1
T006271	HKDC1
T006272	HKDC1
T006275	HKDC1
T006284	HK1
T006286	HK1
T006291	HK1
T006292	TACR2
T006299	TSPAN15
T006309	C10orf35
T006313	COL13A1
T006314	COL13A1
T006319	COL13A1
T006331	H2AFY2
T006333	H2AFY2
T006339	AIFM2
T006340	AIFM2
T006341	AIFM2
T006342	AIFM2
T006343	TYSND1
T006344	TYSND1
T006345	TYSND1
T006347	SAR1A
T006353	CALM2P2
